date snow evap netpsn depthtogw vegaccesswater Qout litter soil height_over trans height_under leafc_over stemc_over rootc_over leafc_under stemc_under rootc_under year month day
1942-10-01 0 0.025414 0.001551 1735.245604 302.244406 0.040178 0.387079 12.0481 18.810828 2.547525 1.989412 0.503809 4.837528 4.193479 0.187142 0.682374 1.148561 1942 10 1
1942-10-02 0 0.031787 0.001895 1738.011539 299.504798 0.039299 0.393037 12.049322 18.810599 2.733695 1.989322 0.498868 4.837424 4.192599 0.186003 0.682317 1.147823 1942 10 2
1942-10-03 0 0.027054 0.001264 1740.633312 296.908359 0.038442 0.398454 12.050487 18.810371 2.59427 1.989232 0.494279 4.837321 4.191561 0.184945 0.68226 1.146918 1942 10 3
1942-10-04 0 0.03145 0.000482 1743.278206 294.289081 0.037604 0.403242 12.051638 18.810142 2.613002 1.989141 0.490043 4.837218 4.190282 0.183969 0.682203 1.145808 1942 10 4
1942-10-05 0 0.027693 -0.000238 1745.766527 291.825237 0.036787 0.407391 12.052776 18.809913 2.460191 1.989051 0.486159 4.837115 4.188796 0.183074 0.682146 1.144504 1942 10 5
1942-10-06 0 0.024072 3.9e-05 1748.216477 289.399534 0.035989 0.410975 12.053853 18.809684 2.425447 1.988961 0.482628 4.837012 4.187657 0.182259 0.68209 1.143304 1942 10 6
1942-10-07 0 0.02173 0.000661 1750.512404 287.12613 0.03521 0.414044 12.054842 18.809455 2.27377 1.98887 0.479449 4.836908 4.187031 0.181526 0.682033 1.142347 1942 10 7
1942-10-08 0 0.020953 0.000383 1752.770953 284.889896 0.034449 0.416556 12.055779 18.809227 2.237175 1.98878 0.476623 4.836805 4.186434 0.180874 0.681976 1.141333 1942 10 8
1942-10-09 0 0.009571 -0.000549 1754.206853 283.469764 0.033708 0.418424 12.05671 18.808998 1.425909 1.98869 0.474149 4.836702 4.18555 0.180304 0.681919 1.14001 1942 10 9
1942-10-10 0 0.022845 0.002382 1756.528201 281.17155 0.032983 0.41996 12.057439 18.808769 2.298089 1.9886 0.472028 4.836599 4.186459 0.179814 0.681862 1.139694 1942 10 10
1942-10-11 0 1.794251 0.002832 1756.376402 281.323924 0.03228 0.421144 12.058032 18.80854 0 1.988509 0.470259 4.836496 4.187905 0.179406 0.681805 1.139386 1942 10 11
1942-10-12 0 0.014121 0.003416 1757.873427 279.843296 0.033027 0.421882 12.058527 18.808312 1.484123 1.988419 0.468843 4.836392 4.189869 0.179079 0.681748 1.139308 1942 10 12
1942-10-13 0 0.015563 0.003384 1759.633207 278.10215 0.032309 0.4222 12.058934 18.808083 1.743821 1.988329 0.467779 4.836289 4.191935 0.178833 0.681692 1.139316 1942 10 13
1942-10-14 0 0.018643 0.002788 1761.765385 275.991729 0.031608 0.422027 12.059288 18.807854 2.113133 1.988238 0.467068 4.836186 4.193767 0.178668 0.681635 1.139266 1942 10 14
1942-10-15 0 0.013843 0.00253 1763.451794 274.322953 0.030924 0.421305 12.0596 18.807625 1.672164 1.988148 0.466709 4.836083 4.195638 0.178585 0.681578 1.139186 1942 10 15
1942-10-16 0 0.016117 0.00194 1765.347601 272.446674 0.030256 0.419995 12.05989 18.807397 1.879295 1.988058 0.466703 4.83598 4.197326 0.178582 0.68152 1.139043 1942 10 16
1942-10-17 0 0.016606 0.001986 1767.262702 270.551301 0.029604 0.418752 12.060147 18.807168 1.898103 1.987921 0.466696 4.835876 4.199044 0.17858 0.681463 1.138882 1942 10 17
1942-10-18 0 0.017212 0.001773 1769.213607 268.620454 0.028967 0.417561 12.060383 18.806939 1.933305 1.987831 0.46669 4.835773 4.200639 0.178577 0.681406 1.138662 1942 10 18
1942-10-19 0 0.017483 0.00154 1771.189923 266.66446 0.028345 0.416401 12.060606 18.806711 1.958448 1.987741 0.466683 4.83567 4.202107 0.178575 0.681349 1.138375 1942 10 19
1942-10-20 0 0.017834 0.001289 1773.181323 264.693569 0.027737 0.415262 12.06082 18.806482 1.973187 1.987651 0.466677 4.835567 4.203435 0.178572 0.681293 1.138014 1942 10 20
1942-10-21 0 0.018208 0.001018 1775.177046 262.718463 0.027144 0.414128 12.061033 18.806253 1.977139 1.98756 0.466671 4.835464 4.204617 0.17857 0.681236 1.13757 1942 10 21
1942-10-22 0 0.018205 0.000731 1777.165552 260.750596 0.026565 0.412991 12.061247 18.806024 1.969929 1.98747 0.466664 4.835361 4.205643 0.178567 0.681179 1.137039 1942 10 22
1942-10-23 0 0.018447 0.000109 1778.968718 258.965763 0.026 0.411801 12.06149 18.805796 1.784349 1.98738 0.466658 4.835257 4.206298 0.178565 0.681122 1.13635 1942 10 23
1942-10-24 0 0.016452 0.001267 1780.720698 257.231686 0.025448 0.410741 12.061654 18.805567 1.735161 1.98729 0.466651 4.835154 4.207625 0.178562 0.681065 1.135986 1942 10 24
1942-10-25 0 0.01621 0.000767 1782.477207 255.493189 0.024908 0.409691 12.061826 18.805338 1.739937 1.9872 0.466645 4.835051 4.208665 0.17856 0.681009 1.135473 1942 10 25
1942-10-26 0 0.014563 0.000993 1784.163262 253.824603 0.024382 0.408689 12.061973 18.805109 1.671131 1.987109 0.466639 4.834948 4.209846 0.178558 0.680952 1.135016 1942 10 26
1942-10-27 0 0.012056 0.001695 1785.646254 252.357451 0.023868 0.40778 12.062073 18.804881 1.470578 1.987019 0.466632 4.834845 4.211459 0.178555 0.680895 1.134735 1942 10 27
1942-10-28 0 0.009021 0.002219 1786.718556 251.297589 0.023366 0.406966 12.062138 18.804652 1.062924 1.986929 0.466626 4.834742 4.213442 0.178553 0.680838 1.134541 1942 10 28
1942-10-29 0 0.009332 0.002238 1787.770711 250.257729 0.022876 0.406241 12.062183 18.804423 1.04247 1.986839 0.466619 4.834638 4.215437 0.17855 0.680782 1.134362 1942 10 29
1942-10-30 0 0.011473 0.002083 1789.129525 248.913834 0.022397 0.405586 12.062218 18.804195 1.346989 1.986749 0.466613 4.834535 4.217298 0.178548 0.680725 1.134184 1942 10 30
1942-10-31 0 0.019519 0.001306 1790.513054 247.544397 0.021929 0.404923 12.062271 18.803966 1.36366 1.986658 0.466607 4.834432 4.218664 0.178545 0.680668 1.13385 1942 10 31
1942-11-01 0 0.01512 0.000588 1791.99737 246.075082 0.021472 0.404225 12.06235 18.803737 1.46885 1.986568 0.4666 4.834329 4.219608 0.178543 0.680611 1.133324 1942 11 1
1942-11-02 0 0.014456 0.000218 1793.468762 244.61866 0.021024 0.403484 12.062449 18.803509 1.456589 1.986478 0.466594 4.834226 4.220339 0.17854 0.680555 1.132695 1942 11 2
1942-11-03 0 2.470939 0.001088 1788.479826 249.593223 0.020591 0.402304 12.062791 18.80328 0 1.986388 0.466587 4.834123 4.22163 0.178538 0.680498 1.132243 1942 11 3
1942-11-04 0 1.473061 0.002278 1788.90957 249.165733 0.071922 0.401628 12.062838 18.803051 0.410139 1.986298 0.466581 4.83402 4.223409 0.178536 0.680441 1.132404 1942 11 4
1942-11-05 0 0.277511 0.002263 1789.858972 248.225898 0.069939 0.401026 12.062872 18.802823 0.939043 1.986208 0.466575 4.833916 4.225202 0.178533 0.680385 1.132528 1942 11 5
1942-11-06 0 0.020139 0.001982 1791.305978 246.79248 0.068014 0.400469 12.062902 18.802594 1.431811 1.986117 0.466568 4.833813 4.226809 0.178531 0.680328 1.132591 1942 11 6
1942-11-07 0 0.014647 0.001621 1792.798768 245.313717 0.066147 0.399921 12.062933 18.802365 1.477803 1.986027 0.466562 4.83371 4.228229 0.178528 0.680271 1.132528 1942 11 7
1942-11-08 0 0.017763 0.001325 1794.097154 244.027398 0.064336 0.399374 12.062967 18.802136 1.280285 1.985937 0.466556 4.833607 4.229491 0.178526 0.680214 1.132366 1942 11 8
1942-11-09 0 0.017004 0.001015 1795.496409 242.641103 0.062579 0.398821 12.063006 18.801908 1.381914 1.985847 0.466549 4.833504 4.230588 0.178523 0.680158 1.132101 1942 11 9
1942-11-10 0 0.01451 0.000888 1796.829806 241.320327 0.060874 0.398269 12.063045 18.801679 1.31855 1.985757 0.466543 4.833401 4.23163 0.178521 0.680101 1.131775 1942 11 10
1942-11-11 0 0.015361 0.000287 1798.225541 239.937842 0.059219 0.397672 12.063109 18.80145 1.38004 1.985667 0.466536 4.833298 4.232334 0.178518 0.680044 1.131267 1942 11 11
1942-11-12 0 0.014703 0.000171 1799.586462 238.590053 0.057614 0.397051 12.063178 18.801222 1.345886 1.985576 0.46653 4.833194 4.232986 0.178516 0.679988 1.130705 1942 11 12
1942-11-13 0 0.015475 -0.000217 1800.955778 237.234112 0.056055 0.396374 12.063273 18.800993 1.353511 1.985486 0.466524 4.833091 4.233414 0.178514 0.679931 1.130028 1942 11 13
