date snow evap netpsn depthtogw vegaccesswater Qout litter soil height_over trans_over height_under trans_under leafc_over stemc_over rootc_over leafc_under stemc_under rootc_under year month day
1942-10-01 0 0 0.790405 1458.198089 180.959776 0 0.520172 11.853882 3.48484 2.536413 0 0 1.144227057 1.620419881 2.111728377 0 0 0 1942 10 1
1942-10-02 0 0 0.750047 1460.394004 178.763861 0 0.519689 11.853798 3.484639 2.440091 0 0 1.144563914 1.620321172 2.111893122 0 0 0 1942 10 2
1942-10-03 0 0 0.485949 1462.446897 176.710968 0 0.519127 11.853769 3.484438 2.281177 0 0 1.144770481 1.620201433 2.111964672 0 0 0 1942 10 3
1942-10-04 0 0 -0.204554 1464.360492 174.797373 0 0.518434 11.85381 3.484237 2.126402 0 0 1.144754799 1.620045811 2.111844425 0 0 0 1942 10 4
1942-10-05 0 0 -1.11086 1466.057646 173.100219 0 0.517746 11.85385 3.484037 1.885911 0 0 1.144739118 1.619890205 2.111724188 0 0 0 1942 10 5
1942-10-06 0 0 -1.417283 1467.532073 171.625792 0 0.517055 11.853892 3.483836 1.638437 0 0 1.144723437 1.619734613 2.111603962 0 0 0 1942 10 6
1942-10-07 0 0 -1.414102 1468.671761 170.486104 0 0.51636 11.853934 3.483635 1.266505 0 0 1.144707755 1.619579037 2.111483747 0 0 0 1942 10 7
1942-10-08 0 0 -1.978099 1469.628938 169.528927 0 0.515674 11.853974 3.483434 1.063714 0 0 1.144692074 1.619423478 2.111363542 0 0 0 1942 10 8
1942-10-09 0 0 -2.842494 1470.234369 168.923496 0 0.514991 11.854015 3.483233 0.672887 0 0 1.144676394 1.619267933 2.111243348 0 0 0 1942 10 9
1942-10-10 0 0 -1.724842 1470.783663 168.374202 0 0.514292 11.854056 3.483033 0.610511 0 0 1.144660713 1.619112404 2.111123164 0 0 0 1942 10 10
1942-10-11 0 1.8 -2.064363 1470.716971 168.440728 0 0.513641 11.854094 3.482832 0 0 0 1.144645033 1.618956892 2.11100299 0 0 0 1942 10 11
1942-10-12 0 0 -1.550041 1470.975121 168.182744 0 0.513009 11.854132 3.482631 0.287019 0 0 1.144629353 1.618801394 2.110882827 0 0 0 1942 10 12
1942-10-13 0 0 -1.552355 1471.226375 167.93149 0 0.512435 11.854167 3.48243 0.279356 0 0 1.144613673 1.618645912 2.110762675 0 0 0 1942 10 13
1942-10-14 0 0 -1.873816 1471.537333 167.620532 0 0.511908 11.854199 3.48223 0.345694 0 0 1.144597993 1.618490447 2.110642533 0 0 0 1942 10 14
1942-10-15 0 0 -2.234194 1471.731657 167.426208 0 0.511396 11.854229 3.482029 0.216101 0 0 1.144582314 1.618334995 2.110522401 0 0 0 1942 10 15
1942-10-16 0 0 -2.503052 1471.922105 167.23576 0 0.510902 11.854259 3.481828 0.211794 0 0 1.144566635 1.61817956 2.110402281 0 0 0 1942 10 16
1942-10-17 0 0 -2.519225 1472.068599 167.089266 0 0.510411 11.854289 3.481628 0.162956 0 0 1.144550956 1.618024142 2.11028217 0 0 0 1942 10 17
1942-10-18 0 0 -2.630134 1472.187208 166.970657 0 0.509929 11.854318 3.481427 0.131972 0 0 1.144535277 1.617868737 2.11016207 0 0 0 1942 10 18
1942-10-19 0 0 -2.734348 1472.281438 166.876427 0 0.509449 11.854348 3.481226 0.104886 0 0 1.144519598 1.617713349 2.11004198 0 0 0 1942 10 19
1942-10-20 0 0 -2.832663 1472.35526 166.802605 0 0.508971 11.854377 3.481026 0.082209 0 0 1.14450392 1.617557976 2.109921901 0 0 0 1942 10 20
1942-10-21 0 0 -2.926799 1472.41266 166.745205 0 0.50849 11.854407 3.480825 0.063963 0 0 1.144488242 1.61740262 2.109801833 0 0 0 1942 10 21
1942-10-22 0 0 -3.018774 1472.457309 166.700556 0 0.508005 11.854436 3.480624 0.049795 0 0 1.144472564 1.617247278 2.109681775 0 0 0 1942 10 22
1942-10-23 0 0 -3.110455 1472.49002 166.667845 0 0.507515 11.854467 3.480424 0.036531 0 0 1.144456886 1.617091952 2.109561727 0 0 0 1942 10 23
1942-10-24 0 0 -2.693478 1472.513264 166.644601 0 0.507015 11.854498 3.480223 0.026011 0 0 1.144441209 1.616936642 2.109441691 0 0 0 1942 10 24
1942-10-25 0 0 -2.876374 1472.535313 166.622552 0 0.506529 11.85453 3.480022 0.024685 0 0 1.144425532 1.616781348 2.109321664 0 0 0 1942 10 25
1942-10-26 0 0 -2.803458 1472.553672 166.604193 0 0.506042 11.854559 3.479822 0.020583 0 0 1.144409855 1.616626069 2.109201648 0 0 0 1942 10 26
1942-10-27 0 0 -2.504644 1472.566887 166.590978 0 0.505559 11.854591 3.479621 0.014869 0 0 1.144394178 1.616470805 2.109081643 0 0 0 1942 10 27
