date snow evap netpsn depthtogw vegaccesswater Qout litter soil height_over trans_over height_under trans_under leafc_over stemc_over rootc_over leafc_under stemc_under rootc_under year month day
1942-10-01 0 0 -3.576642 1471.615811 167.542073 0 0.47349 11.850335 3.48484 0.412126 0 0 1.12374339 1.617111189 2.101516724 0 0 0 1942 10 1
1942-10-02 0 0 -3.44445 1471.871172 167.286712 0 0.472741 11.850371 3.484639 0.2839 0 0 1.123727997 1.616955582 2.101396456 0 0 0 1942 10 2
1942-10-03 0 0 -3.835432 1472.041443 167.116441 0 0.472008 11.850409 3.484438 0.189354 0 0 1.123712603 1.616799991 2.101276198 0 0 0 1942 10 3
1942-10-04 0 0 -4.020579 1472.149234 167.00865 0 0.471274 11.850448 3.484237 0.119933 0 0 1.12369721 1.616644414 2.101155951 0 0 0 1942 10 4
1942-10-05 0 0 -4.354574 1472.219942 166.937942 0 0.470535 11.850485 3.484037 0.078729 0 0 1.123681817 1.616488854 2.101035714 0 0 0 1942 10 5
1942-10-06 0 0 -4.369862 1472.271661 166.886223 0 0.469781 11.850523 3.483836 0.05763 0 0 1.123666424 1.61633331 2.100915489 0 0 0 1942 10 6
1942-10-07 0 0 -4.104182 1472.308118 166.849766 0 0.469018 11.850564 3.483635 0.040671 0 0 1.123651031 1.616177781 2.100795273 0 0 0 1942 10 7
1942-10-08 0 0 -4.197693 1472.335564 166.82232 0 0.468261 11.850601 3.483434 0.03066 0 0 1.123635639 1.616022268 2.100675068 0 0 0 1942 10 8
1942-10-09 0 0 -4.807717 1472.353458 166.804426 0 0.467499 11.85064 3.483233 0.020046 0 0 1.123620246 1.61586677 2.100554874 0 0 0 1942 10 9
1942-10-10 0 0 -3.346932 1472.372028 166.785856 0 0.466719 11.850681 3.483033 0.020797 0 0 1.123604854 1.615711288 2.100434689 0 0 0 1942 10 10
1942-10-11 0 1.8 -3.505545 1472.305354 166.852382 0 0.465984 11.850718 3.482832 0 0 0 1.123589462 1.615555821 2.100314516 0 0 0 1942 10 11
1942-10-12 0 0 -2.8035 1472.33154 166.826344 0 0.465274 11.850755 3.482631 0.029259 0 0 1.123574071 1.615400371 2.100194353 0 0 0 1942 10 12
1942-10-13 0 0 -2.648051 1472.357342 166.800542 0 0.464621 11.850789 3.48243 0.028833 0 0 1.123558679 1.615244935 2.100074201 0 0 0 1942 10 13
1942-10-14 0 0 -2.926176 1472.389087 166.768797 0 0.464017 11.850819 3.48223 0.035436 0 0 1.123543288 1.615089516 2.099954059 0 0 0 1942 10 14
1942-10-15 0 0 -3.066054 1472.410009 166.747875 0 0.463428 11.85085 3.482029 0.023411 0 0 1.123527897 1.614934111 2.099833928 0 0 0 1942 10 15
1942-10-16 0 0 -3.267317 1472.431565 166.726319 0 0.462858 11.85088 3.481828 0.024116 0 0 1.123512506 1.614778723 2.099713807 0 0 0 1942 10 16
1942-10-17 0 0 -3.188597 1472.450185 166.707699 0 0.462291 11.850912 3.481628 0.020853 0 0 1.123497116 1.61462335 2.099593696 0 0 0 1942 10 17
1942-10-18 0 0 -3.240188 1472.467405 166.690479 0 0.461732 11.85094 3.481427 0.019298 0 0 1.123481725 1.614467993 2.099473596 0 0 0 1942 10 18
1942-10-19 0 0 -3.29986 1472.483464 166.67442 0 0.461177 11.85097 3.481226 0.018007 0 0 1.123466335 1.614312652 2.099353507 0 0 0 1942 10 19
1942-10-20 0 0 -3.36711 1472.498569 166.659315 0 0.460623 11.850999 3.481026 0.016948 0 0 1.123450945 1.614157325 2.099233428 0 0 0 1942 10 20
1942-10-21 0 0 -3.441561 1472.512895 166.644989 0 0.460066 11.85103 3.480825 0.016082 0 0 1.123435555 1.614002015 2.099113359 0 0 0 1942 10 21
1942-10-22 0 0 -3.522932 1472.526579 166.631305 0 0.459504 11.85106 3.480624 0.015368 0 0 1.123420166 1.61384672 2.098993302 0 0 0 1942 10 22
1942-10-23 0 0 -3.611078 1472.538842 166.619042 0 0.458935 11.85109 3.480424 0.01379 0 0 1.123404777 1.613691441 2.098873254 0 0 0 1942 10 23
1942-10-24 0 0 -3.124756 1472.550463 166.607421 0 0.458357 11.85112 3.480223 0.013076 0 0 1.123389388 1.613536178 2.098753217 0 0 0 1942 10 24
1942-10-25 0 0 -3.328126 1472.562819 166.595065 0 0.457794 11.851152 3.480022 0.013893 0 0 1.123373999 1.61338093 2.09863319 0 0 0 1942 10 25
1942-10-26 0 0 -3.239591 1472.574813 166.583071 0 0.45723 11.851183 3.479822 0.013491 0 0 1.12335861 1.613225697 2.098513175 0 0 0 1942 10 26
1942-10-27 0 0 -2.892145 1472.584938 166.572946 0 0.456673 11.851213 3.479621 0.011414 0 0 1.123343221 1.61307048 2.098393169 0 0 0 1942 10 27
1942-10-28 0 0 -2.431129 1472.591542 166.566342 0 0.456136 11.851243 3.479421 0.007502 0 0 1.123327833 1.612915279 2.098273174 0 0 0 1942 10 28
1942-10-29 0 0 -2.274305 1472.598512 166.559372 0 0.455641 11.85127 3.47922 0.007909 0 0 1.123312445 1.612760093 2.09815319 0 0 0 1942 10 29
1942-10-30 0 0 -2.451488 1472.609837 166.548047 0 0.455187 11.851296 3.47902 0.012748 0 0 1.123297057 1.612604923 2.098033215 0 0 0 1942 10 30
1942-10-31 0 0 -2.62118 1472.622795 166.535089 0 0.454746 11.851321 3.478819 0.014562 0 0 1.12328167 1.612449769 2.097913252 0 0 0 1942 10 31
1942-11-01 0 0 -2.975548 1472.637834 166.52005 0 0.454311 11.851345 3.478619 0.016874 0 0 1.123266282 1.612294629 2.097793299 0 0 0 1942 11 1
1942-11-02 0 0 -3.16006 1472.652479 166.505405 0 0.453866 11.85137 3.478418 0.016436 0 0 1.123250895 1.612139506 2.097673356 0 0 0 1942 11 2
1942-11-03 0 2.579322 -2.944003 1467.998669 171.159067 0 0.453407 11.851396 3.478218 0 0 0 1.123235508 1.611984399 2.097553424 0 0 0 1942 11 3
1942-11-04 0 0.608312 -0.258323 1468.194212 170.963672 0 0.452929 11.851424 3.478017 0.217434 0 0 1.123220121 1.611829306 2.097433503 0 0 0 1942 11 4
1942-11-05 0 0 -0.283879 1468.600345 170.557539 0 0.452494 11.851448 3.477817 0.451423 0 0 1.123204735 1.61167423 2.097313592 0 0 0 1942 11 5
1942-11-06 0 0 -0.54348 1469.20668 169.951204 0 0.45209 11.851472 3.477616 0.673869 0 0 1.123189348 1.611519169 2.097193691 0 0 0 1942 11 6
1942-11-07 0 0 -0.938728 1469.799581 169.358303 0 0.451694 11.851494 3.477416 0.658944 0 0 1.123173962 1.611364123 2.097073801 0 0 0 1942 11 7
1942-11-08 0 0 -1.163495 1470.271308 168.886576 0 0.451301 11.851517 3.477215 0.524305 0 0 1.123158576 1.611209093 2.096953921 0 0 0 1942 11 8
1942-11-09 0 0 -1.492459 1470.728881 168.429003 0 0.450913 11.851541 3.477015 0.508579 0 0 1.123143191 1.611054079 2.096834053 0 0 0 1942 11 9
1942-11-10 0 0 -1.735959 1471.119555 168.038329 0 0.45052 11.851565 3.476814 0.434247 0 0 1.123127805 1.610899081 2.096714194 0 0 0 1942 11 10
1942-11-11 0 0 -2.231826 1471.483254 167.67463 0 0.450125 11.851588 3.476614 0.404274 0 0 1.12311242 1.610744097 2.096594346 0 0 0 1942 11 11
1942-11-12 0 0 -2.433049 1471.78287 167.375014 0 0.449717 11.851613 3.476414 0.333072 0 0 1.123097035 1.610589129 2.096474508 0 0 0 1942 11 12
1942-11-13 0 0 -2.730691 1472.030587 167.127297 0 0.449297 11.851637 3.476213 0.275404 0 0 1.12308165 1.610434177 2.096354681 0 0 0 1942 11 13
1942-11-14 0 0 -2.472625 1472.204389 166.953495 0 0.448862 11.851664 3.476013 0.193278 0 0 1.123066265 1.61027924 2.096234864 0 0 0 1942 11 14
1942-11-15 0 2.199885 -2.323548 1461.556802 177.600934 0 0.448427 11.85169 3.475813 0 0 0 1.123050881 1.61012432 2.096115058 0 0 0 1942 11 15
1942-11-16 0 1.676912 1.461603 1461.023812 178.133776 0 0.447958 11.851719 3.475612 0 0 0 1.123035496 1.609969414 2.095995261 0 0 0 1942 11 16
1942-11-17 0 1.291023 1.283326 1428.210347 210.947094 0 0.447528 11.851745 3.475412 0 0 0 1.123020112 1.609814524 2.095875477 0 0 0 1942 11 17
1942-11-18 0 0.506071 -0.256007 1393.144418 246.012875 0 0.446988 11.851777 3.475212 0 0 0 1.123004728 1.60965965 2.095755702 0 0 0 1942 11 18
1942-11-19 0 1.394925 3.013004 1352.234095 286.92305 0 0.446343 11.851814 3.475011 0 0 0 1.122989345 1.609504791 2.095635937 0 0 0 1942 11 19
1942-11-20 0 1.791834 2.47909 1352.233947 286.92305 0 0.445606 11.851855 3.474811 0 0 0 1.122973961 1.609349948 2.095516183 0 0 0 1942 11 20
1942-11-21 0 0 3.290935 1353.621544 285.53634 0 0.44496 11.851893 3.474611 1.541938 0 0 1.122958578 1.609195121 2.09539644 0 0 0 1942 11 21
1942-11-22 0 0 3.836111 1355.324154 283.83373 0 0.444345 11.85193 3.47441 1.891953 0 0 1.122943195 1.609040309 2.095276707 0 0 0 1942 11 22
1942-11-23 0 0 3.512207 1357.225749 281.932135 0 0.443727 11.851965 3.47421 2.113048 0 0 1.122927812 1.608885512 2.095156984 0 0 0 1942 11 23
1942-11-24 0 0 3.335638 1358.844494 280.31339 0 0.443088 11.852001 3.47401 1.79877 0 0 1.12291243 1.608730731 2.095037273 0 0 0 1942 11 24
1942-11-25 0 0 3.435114 1360.477973 278.679911 0 0.442449 11.852037 3.47381 1.815141 0 0 1.122897047 1.608575965 2.09491757 0 0 0 1942 11 25
1942-11-26 0 0 3.433808 1362.173608 276.984276 0 0.441817 11.852074 3.473609 1.884203 0 0 1.122881665 1.608421216 2.094797879 0 0 0 1942 11 26
1942-11-27 0 0 3.384894 1363.921049 275.236835 0 0.441188 11.852108 3.473409 1.941765 0 0 1.122866283 1.608266481 2.094678199 0 0 0 1942 11 27
1942-11-28 0 0 3.394951 1365.477199 273.680685 0 0.440559 11.852142 3.473209 1.72922 0 0 1.122850902 1.608111762 2.094558529 0 0 0 1942 11 28
1942-11-29 0 0 3.411011 1367.067542 272.090342 0 0.439942 11.852176 3.473009 1.767212 0 0 1.12283552 1.607957059 2.094438868 0 0 0 1942 11 29
